Platzierung,Verein,Kader,Durchschnittsalter,Gesamtmarktwert,Durchschnittsmarktwert,Umsatz,Jahr
18,Eintracht Braunschweig,32,25.2,29.6,0.925,,2014
1,FC Bayern München,28,24.5,407.30,14.55,,2013
2,Borussia Dortmund,29,23.3,227.68,7.85,,2013
4,FC Schalke 04,28,24.3,171,6.11,,2013
11,VfL Wolfsburg,34,25,120.33,3.54,,2013
3,Bayer 04 Leverkusen,32,22.8,115.9,3.62,,2013
7,Hamburger SV,28,24.4,110.6,3.95,116.7,2013
12,Stuttgart,32,24.6,102.03,3.19,,2013
9,Hannover 96,32,24.9,88,2.75,,2013
16,TSG 1899 Hoffenheim,42,22.8,85.03,2.02,,2013
8,Borussia Mönchengladbach,27,23.7,81,3,,2013
14,SV Werder Bremen,32,22.5,79.2,2.48,,2013
6,Eintracht Frankfurt,31,24.4,51.2,1.65,58.76,2013
13,1.FSV Mainz 05,31,25.5,50.95,1.64,,2013
15,FC Augsburg,31,25.4,47,1.52,,2013
5,SC Freiburg,31,23.1,45.45,1.47,50,2013
10,1.FC Nürnberg,30,23.4,42.65,1.42,,2013
18,SpVgg Greuther Fürth,37,23.8,34.08,0.921,,2013
17,Fortuna Düsseldorf,34,24.9,31.75,0.934,,2013
