Date;HomeTeam;AwayTeam;FullTimeHomeTeamGoals;FullTimeAwayTeamGoals;FullTimeResult;HalfTimeHomeTeamGoals;HalfTimeAwayTeamGoals;HalfTimeResult;HomeTeamShots;AwayTeamShots;HomeTeamShots;AwayTeamShots;HomeTeamFoulsCommitted;AwayTeamFoulsCommitted;HomeTeamCorners;AwayTeamCorners;HomeTeamYellowCards;AwayTeamYellowCards;HomeTeamRedCards;AwayTeamRedCards;;;;;;
20.08.2000;FC Koln;Ein Frankfurt;4;1;H;2;0;H;35000;Jürgen Jansen ;12;6;7;3;0;0;1;12;17;9;6;1;0;1;0;0
20.08.2000;Hansa Rostock;Schalke 04;0;4;A;0;3;A;15000;Uwe Kemmling ;17;16;6;11;0;0;5;4;12;10;1;3;2;3;1;0
05.09.2000;Freiburg;FC Koln;0;0;D;0;0;D;25000;Florian Meyer ;13;11;5;3;1;0;9;3;13;13;1;0;1;3;0;0
05.09.2000;Kaiserslautern;Stuttgart;1;0;H;1;0;H;37940;Franz-Xaver Wack ;7;16;5;3;0;0;3;6;16;24;7;2;4;2;0;0
05.09.2000;Leverkusen;Unterhaching;1;0;H;1;0;H;22500;B.Zerr ;17;0;8;0;0;0;8;0;21;29;2;2;5;2;0;1
05.09.2000;Schalke 04;Cottbus;3;0;H;2;0;H;36200;Edgar Steinborn ;15;5;12;3;0;0;5;2;16;13;3;0;0;4;0;0
06.09.2000;Bayern Munich;Wolfsburg;3;1;H;2;0;H;41000;Lutz Wagner ;16;15;8;9;0;1;11;5;16;19;3;1;0;3;0;0
06.09.2000;Dortmund;Munich 1860;2;3;A;1;1;D;56000;Alfons Berg ;12;8;4;5;0;1;7;4;12;20;1;1;3;2;0;0
06.09.2000;Ein Frankfurt;Hansa Rostock;4;0;H;0;0;D;20000;Michael Weiner ;6;12;5;3;0;3;3;5;16;13;3;2;3;3;1;1
06.09.2000;Hamburg;Werder Bremen;2;1;H;1;0;H;40000;Helmut Fleischer ;18;6;11;3;0;1;10;3;20;20;6;9;2;2;0;0
06.09.2000;Hertha;Bochum;4;0;H;3;0;H;30000;Hartmut Strampe ;21;8;6;1;0;0;3;6;13;8;0;4;0;2;0;0
08.09.2000;Unterhaching;Kaiserslautern;0;0;D;0;0;D;13000;Helmut Krug ;18;19;9;10;0;1;8;8;23;15;2;6;0;1;0;0
09.09.2000;FC Koln;Leverkusen;1;1;D;0;1;A;40000;Markus Merk ;7;9;2;2;1;2;2;8;11;21;3;2;2;2;0;1
09.09.2000;Munich 1860;Schalke 04;1;1;D;0;0;D;40000;Peter Gagelmann ;16;8;7;4;2;0;8;2;17;10;3;1;2;3;0;0
09.09.2000;Bochum;Hamburg;0;4;A;0;2;A;23500;Jörg Kessler ;2;21;1;6;0;3;3;5;20;18;3;0;1;2;1;0
09.09.2000;Stuttgart;Bayern Munich;2;1;H;1;1;D;51165;Bernd Heynemann ;8;9;5;2;0;0;6;3;18;21;1;4;3;3;0;0
09.09.2000;Werder Bremen;Dortmund;1;2;A;0;1;A;35000;Lutz Michael Fröhlich ;9;14;4;5;0;1;3;3;12;23;6;8;3;2;0;0
09.09.2000;Wolfsburg;Hertha;2;1;H;1;0;H;16333;Hermann Albrecht ;14;10;6;4;1;0;7;9;22;17;0;1;2;3;0;0
10.09.2000;Cottbus;Ein Frankfurt;2;0;H;0;0;D;14012;Jürgen Aust ;17;10;9;2;2;0;8;2;15;15;7;0;2;4;0;0
10.09.2000;Hansa Rostock;Freiburg;0;0;D;0;0;D;20000;Jürgen Jansen ;14;7;5;5;1;0;13;7;28;18;4;2;1;2;0;0
15.09.2000;Kaiserslautern;FC Koln;3;1;H;1;1;D;38000;Hartmut Strampe ;18;13;8;7;1;0;5;3;14;15;1;2;1;1;1;0
16.09.2000;Bayern Munich;Unterhaching;3;1;H;1;1;D;48000;Jürgen Jansen ;15;14;6;3;0;1;4;6;16;20;4;3;2;0;0;0
16.09.2000;Bochum;Wolfsburg;2;1;H;1;0;H;10000;Lutz Michael Fröhlich ;9;21;5;11;0;0;5;16;13;15;3;4;2;3;0;0
16.09.2000;Ein Frankfurt;Munich 1860;1;0;H;1;0;H;30000;Helmut Krug ;9;16;2;4;2;0;7;6;18;24;1;2;3;4;0;0
16.09.2000;Freiburg;Cottbus;4;1;H;0;0;D;;Helmut Fleischer ;20;7;10;2;1;0;7;3;17;9;3;2;1;1;0;0
16.09.2000;Hamburg;Dortmund;2;3;A;1;1;D;46694;Bernd Heynemann ;9;7;3;6;0;0;6;8;17;18;4;3;2;1;0;0
16.09.2000;Leverkusen;Hansa Rostock;1;2;A;0;2;A;21000;Franz-Xaver Wack ;26;5;9;1;0;0;14;4;19;21;2;1;2;2;0;0
17.09.2000;Hertha;Stuttgart;2;0;H;0;0;D;40000;Florian Meyer ;10;6;5;3;0;0;10;8;16;15;3;0;0;0;0;0
17.09.2000;Schalke 04;Werder Bremen;1;1;D;0;0;D;45025;Alfons Berg ;12;7;5;4;0;0;5;3;23;26;4;3;2;3;0;0
22.09.2000;Munich 1860;Freiburg;3;1;H;0;1;A;22500;Lutz Michael Fröhlich ;13;9;4;4;0;2;7;8;9;21;1;2;1;3;0;1
23.09.2000;FC Koln;Bayern Munich;1;2;A;1;1;D;45000;Helmut Krug ;22;19;7;8;1;1;10;6;11;11;1;2;0;0;0;0
23.09.2000;Cottbus;Leverkusen;1;2;A;1;1;D;20000;Lutz Wagner ;8;14;4;9;0;1;6;4;19;19;3;7;1;3;1;0
23.09.2000;Dortmund;Schalke 04;0;4;A;0;2;A;68000;Markus Merk ;10;8;3;4;0;0;7;4;17;14;4;3;2;2;0;0
23.09.2000;Stuttgart;Bochum;1;1;D;0;1;A;15000;Wolfgang Stark ;16;8;5;3;2;0;11;2;14;16;1;3;4;2;0;0
23.09.2000;Werder Bremen;Ein Frankfurt;1;1;D;1;1;D;26500;Peter Sippel ;10;6;5;4;1;0;6;6;15;18;4;1;2;0;0;1
23.09.2000;Wolfsburg;Hamburg;4;4;D;2;1;H;21000;Alfons Berg ;15;7;7;7;0;0;4;5;20;29;1;0;1;2;0;0
24.09.2000;Hansa Rostock;Kaiserslautern;1;0;H;0;0;D;16000;Jürgen Aust ;11;11;3;2;1;0;13;6;19;26;4;2;2;1;0;0
24.09.2000;Unterhaching;Hertha;5;2;H;2;1;H;9000;Michael Weiner ;8;12;6;4;0;0;7;5;10;10;2;2;1;2;0;0
29.09.2000;Ein Frankfurt;Dortmund;1;1;D;1;0;H;40000;Hermann Albrecht ;10;12;5;4;0;0;4;6;7;11;2;2;2;3;0;0
30.09.2000;Bayern Munich;Hansa Rostock;0;1;A;0;1;A;60000;Alfons Berg ;26;8;13;3;0;0;6;5;12;15;3;7;1;2;0;0
30.09.2000;Bochum;Unterhaching;3;0;H;0;0;D;16500;Uwe Kemmling ;12;3;7;1;0;0;9;5;16;11;1;6;3;1;0;0
30.09.2000;Hamburg;Schalke 04;2;0;H;1;0;H;50000;Lutz Wagner ;7;6;6;2;0;0;3;7;17;15;0;2;2;2;0;1
30.09.2000;Hertha;FC Koln;4;2;H;3;2;H;30000;Edgar Steinborn ;16;9;10;5;0;0;5;10;23;20;2;3;2;2;0;0
30.09.2000;Kaiserslautern;Cottbus;1;1;D;1;0;H;30000;Bernd Heynemann ;8;14;4;7;0;1;11;5;13;21;2;1;2;2;0;0
30.09.2000;Leverkusen;Munich 1860;0;0;D;0;0;D;22500;Hartmut Strampe ;23;19;4;7;2;1;14;8;15;18;2;2;3;3;1;0
01.10.2000;Freiburg;Werder Bremen;0;1;A;0;0;D;25000;Jörg Kessler ;6;13;1;5;0;1;6;10;7;7;2;2;3;3;0;0
01.10.2000;Wolfsburg;Stuttgart;2;2;D;1;1;D;15800;Markus Merk ;15;15;9;10;0;0;4;7;18;15;4;2;0;0;0;0
13.10.2000;Dortmund;Freiburg;1;0;H;0;0;D;58000;Herbert Fandel ;25;3;11;1;2;0;9;3;24;18;0;1;1;2;0;0
14.10.2000;FC Koln;Bochum;2;0;H;0;0;D;30000;Michael Weiner ;21;8;12;1;2;1;2;1;17;11;3;0;3;3;0;0
14.10.2000;Munich 1860;Kaiserslautern;0;4;A;0;1;A;30000;Uwe Kemmling ;11;17;3;10;0;0;11;1;14;13;1;1;3;3;1;0
14.10.2000;Cottbus;Bayern Munich;1;0;H;1;0;H;21000;Markus Merk ;15;8;8;0;0;0;1;5;23;22;3;1;1;5;0;0
14.10.2000;Schalke 04;Ein Frankfurt;4;0;H;1;0;H;55000;Florian Meyer ;16;5;3;0;0;0;9;2;15;12;5;1;4;2;0;1
14.10.2000;Stuttgart;Hamburg;3;3;D;2;2;D;35000;Jürgen Aust ;17;10;9;9;1;0;2;5;16;16;2;1;3;3;0;0
14.10.2000;Werder Bremen;Leverkusen;3;3;D;0;1;A;27000;Helmut Krug ;11;6;6;4;0;0;5;7;12;21;10;2;4;2;0;1
15.10.2000;Hansa Rostock;Hertha;0;2;A;0;1;A;17000;Hartmut Strampe ;12;15;3;7;0;0;8;6;20;15;4;0;4;3;1;1
15.10.2000;Unterhaching;Wolfsburg;0;3;A;0;1;A;7500;Edgar Steinborn ;9;11;6;6;0;1;6;3;28;12;1;2;2;1;0;0
20.10.2000;Kaiserslautern;Werder Bremen;2;0;H;1;0;H;39000;Jürgen Jansen ;3;10;2;4;0;0;2;4;11;11;3;5;1;4;0;0
21.10.2000;Bayern Munich;Munich 1860;3;1;H;1;0;H;63000;Jürgen Aust ;14;12;9;5;0;0;5;4;21;16;3;2;1;5;0;1
21.10.2000;Hamburg;Ein Frankfurt;2;0;H;1;0;H;35000;Lutz Michael Fröhlich ;12;3;5;0;0;0;11;1;10;13;0;6;3;1;0;0
21.10.2000;Hertha;Cottbus;3;1;H;1;1;D;49400;Jörg Kessler ;15;5;9;3;1;0;8;3;23;14;1;1;2;2;0;0
21.10.2000;Leverkusen;Dortmund;2;0;H;1;0;H;22500;Helmut Fleischer ;16;13;3;3;2;0;5;2;25;34;9;4;1;2;0;0
21.10.2000;Stuttgart;Unterhaching;2;2;D;1;2;A;15000;Herbert Fandel ;23;6;8;3;0;0;16;2;5;15;0;1;1;1;0;0
21.10.2000;Wolfsburg;FC Koln;6;0;H;4;0;H;14000;Franz-Xaver Wack ;8;10;5;6;0;0;3;5;19;18;4;4;1;3;0;0
22.10.2000;Bochum;Hansa Rostock;1;2;A;0;0;D;17800;Peter Gagelmann ;25;12;13;6;1;0;10;8;17;22;1;1;0;1;0;0
22.10.2000;Freiburg;Schalke 04;3;1;H;1;0;H;25000;Wolfgang Stark ;14;14;5;5;0;0;11;7;13;8;3;1;1;1;0;0
27.10.2000;Cottbus;Bochum;2;0;H;2;0;H;15598;Hermann Albrecht ;11;9;3;3;1;2;7;7;17;24;2;2;3;3;0;0
28.10.2000;Dortmund;Kaiserslautern;1;2;A;0;1;A;65000;Alfons Berg ;15;5;3;3;0;0;10;2;12;29;5;2;2;2;0;0
28.10.2000;Ein Frankfurt;Freiburg;3;0;H;2;0;H;23800;Hartmut Strampe ;15;13;9;7;0;0;9;3;25;14;3;1;1;4;0;1
28.10.2000;Hansa Rostock;Wolfsburg;1;1;D;0;1;A;14000;Helmut Krug ;15;13;5;5;1;0;5;3;9;4;4;0;0;5;0;0
28.10.2000;Schalke 04;Leverkusen;0;0;D;0;0;D;41545;Lutz Michael Fröhlich ;14;6;5;4;0;0;5;3;14;11;5;1;3;3;0;0
28.10.2000;Unterhaching;Hamburg;2;1;H;0;1;A;12000;Florian Meyer ;16;7;4;3;0;0;6;6;18;6;3;2;1;0;0;0
28.10.2000;Werder Bremen;Bayern Munich;1;1;D;1;1;D;35282;Herbert Fandel ;10;16;4;4;1;1;5;4;20;21;5;7;2;3;0;0
29.10.2000;FC Koln;Stuttgart;3;2;H;2;2;D;32000;Helmut Fleischer ;17;22;6;9;2;0;3;5;18;22;1;2;4;3;0;0
29.10.2000;Munich 1860;Hertha;0;1;A;0;0;D;27600;Jürgen Jansen ;23;16;11;7;1;0;6;4;20;26;2;4;1;1;0;0
03.11.2000;Leverkusen;Ein Frankfurt;1;0;H;0;0;D;22000;Herbert Fandel ;26;3;14;3;1;0;8;3;13;16;7;2;1;2;0;0
04.11.2000;Bayern Munich;Dortmund;6;2;H;3;1;H;62000;Hartmut Strampe ;24;17;8;9;2;0;7;7;20;17;1;8;4;5;0;1
04.11.2000;Bochum;Munich 1860;1;1;D;0;0;D;18000;Markus Merk ;14;18;6;4;0;1;7;3;12;24;4;0;2;4;0;0
04.11.2000;Hamburg;Freiburg;5;0;H;4;0;H;38000;Helmut Krug ;21;11;9;5;0;0;3;3;20;15;0;6;1;2;0;0
04.11.2000;Hertha;Werder Bremen;4;1;H;2;0;H;30000;Franz-Xaver Wack ;16;12;7;5;0;0;7;6;21;18;2;0;1;2;0;1
04.11.2000;Kaiserslautern;Schalke 04;3;2;H;0;1;A;41500;Edgar Steinborn ;14;7;5;2;0;0;4;3;13;20;6;2;3;2;0;0
04.11.2000;Stuttgart;Hansa Rostock;1;0;H;1;0;H;16000;Michael Weiner ;16;7;8;3;1;0;0;4;17;15;1;4;2;3;0;0
05.11.2000;Unterhaching;FC Koln;0;0;D;0;0;D;9500;Bernd Heynemann ;6;9;4;4;1;0;4;5;15;11;1;0;2;1;0;1
05.11.2000;Wolfsburg;Cottbus;1;1;D;0;1;A;12000;Wolfgang Stark ;26;11;17;3;0;0;7;7;14;22;1;2;1;3;0;0
10.11.2000;Dortmund;Hertha;2;0;H;1;0;H;63000;Florian Meyer ;21;11;9;1;0;0;4;3;15;20;3;2;1;1;0;0
11.11.2000;FC Koln;Hamburg;4;2;H;2;0;H;40000;Hermann Albrecht ;17;8;10;4;1;0;9;6;19;14;1;1;2;4;1;0
11.11.2000;Munich 1860;Wolfsburg;2;2;D;2;1;H;20000;Herbert Fandel ;11;19;6;10;0;0;6;8;25;23;1;1;1;3;0;0
11.11.2000;Freiburg;Leverkusen;0;1;A;0;0;D;25000;Franz-Xaver Wack ;6;21;0;2;1;1;1;11;17;12;5;2;2;4;0;0
11.11.2000;Hansa Rostock;Unterhaching;2;2;D;0;1;A;12000;Markus Merk;16;13;9;6;0;0;9;9;17;17;4;6;3;2;0;0
11.11.2000;Schalke 04;Bayern Munich;3;2;H;0;1;A;62000;Bernd Heynemann ;13;6;7;2;1;1;4;2;19;24;3;2;3;5;0;0
11.11.2000;Werder Bremen;Bochum;2;0;H;0;0;D;20000;Helmut Fleischer ;22;6;10;3;0;0;10;8;20;17;11;5;0;1;0;0
12.11.2000;Cottbus;Stuttgart;2;1;H;1;1;D;17200;Uwe Kemmling ;14;12;4;9;1;0;10;6;18;18;0;1;3;2;0;0
12.11.2000;Ein Frankfurt;Kaiserslautern;3;1;H;1;0;H;36000;Wolfgang Stark ;9;16;7;8;0;0;8;4;8;11;6;3;1;4;0;0
17.11.2000;Stuttgart;Munich 1860;2;2;D;1;0;H;15000;Helmut Krug ;20;9;7;4;0;1;7;2;20;17;3;0;0;2;0;0
18.11.2000;FC Koln;Hansa Rostock;5;2;H;3;2;H;27000;Peter Sippel ;18;9;10;5;0;0;5;8;21;19;2;2;2;1;0;1
18.11.2000;Bayern Munich;Ein Frankfurt;1;2;A;1;1;D;40000;Edgar Steinborn ;21;12;12;6;0;1;10;3;19;26;4;3;2;1;0;0
18.11.2000;Hamburg;Leverkusen;1;3;A;1;2;A;50000;Markus Merk ;10;7;3;5;2;0;3;4;24;12;8;6;1;2;0;0
18.11.2000;Hertha;Schalke 04;0;4;A;0;2;A;50000;Herbert Fandel ;14;20;4;8;0;0;5;6;17;24;0;0;2;1;0;0
18.11.2000;Kaiserslautern;Freiburg;0;2;A;0;1;A;40000;Lutz Wagner ;18;6;11;4;1;0;7;3;14;19;3;2;1;3;0;0
18.11.2000;Wolfsburg;Werder Bremen;1;1;D;0;1;A;20000;Jörg Kessler ;15;9;9;7;1;0;9;5;18;14;5;6;3;2;0;0
19.11.2000;Bochum;Dortmund;1;1;D;0;0;D;30000;Jürgen Aust ;16;20;7;6;0;1;8;10;22;23;1;1;4;2;0;0
19.11.2000;Unterhaching;Cottbus;2;1;H;2;0;H;9000;Peter Gagelmann ;9;7;6;2;0;0;5;4;9;18;6;3;4;1;0;0
24.11.2000;Schalke 04;Bochum;2;1;H;1;0;H;45000;Uwe Kemmling ;16;9;5;2;0;1;4;2;25;25;2;3;3;1;0;0
25.11.2000;Cottbus;FC Koln;0;2;A;0;1;A;15000;Alfons Berg ;12;11;4;6;0;0;9;2;19;17;0;0;0;1;0;0
25.11.2000;Dortmund;Wolfsburg;2;1;H;2;1;H;60500;Markus Merk ;18;18;5;2;0;0;2;6;17;19;6;4;1;2;0;0
25.11.2000;Ein Frankfurt;Hertha;0;4;A;0;2;A;32000;Helmut Krug ;15;18;5;12;0;0;11;4;23;16;2;3;1;2;1;0
25.11.2000;Freiburg;Bayern Munich;1;1;D;1;1;D;25000;Herbert Fandel ;10;19;4;10;0;0;2;9;23;25;3;4;3;5;0;0
25.11.2000;Hansa Rostock;Hamburg;1;0;H;0;0;D;14500;Jürgen Jansen ;15;4;6;2;0;0;13;3;30;26;2;1;2;2;0;0
26.11.2000;Munich 1860;Unterhaching;0;2;A;0;1;A;29600;Florian Meyer ;16;16;3;6;0;0;8;5;8;15;2;0;4;0;0;0
26.11.2000;Leverkusen;Kaiserslautern;4;2;H;2;1;H;22500;Hermann Albrecht ;16;14;9;7;0;0;8;4;25;22;7;0;2;3;0;0
26.11.2000;Werder Bremen;Stuttgart;1;0;H;0;0;D;26189;Lutz Michael Fröhlich ;9;5;2;3;0;1;8;3;21;29;3;3;1;1;0;1
02.12.2000;FC Koln;Munich 1860;4;0;H;1;0;H;30000;Lutz Michael Fröhlich ;18;6;10;0;0;1;7;5;15;16;4;1;2;4;0;0
02.12.2000;Bayern Munich;Leverkusen;2;0;H;1;0;H;48000;Helmut Krug ;18;7;8;2;1;0;5;5;18;20;6;2;4;2;0;1
02.12.2000;Bochum;Ein Frankfurt;2;1;H;2;0;H;17000;Bernd Heynemann ;13;20;6;8;0;1;10;5;18;9;2;1;1;2;0;0
02.12.2000;Hertha;Freiburg;2;2;D;2;1;H;30000;Markus Merk ;18;7;8;4;0;0;6;0;17;18;2;6;4;3;0;0
02.12.2000;Stuttgart;Dortmund;0;2;A;0;1;A;25000;Edgar Steinborn ;10;10;3;3;0;0;5;4;21;19;0;0;1;2;0;0
02.12.2000;Wolfsburg;Schalke 04;2;0;H;0;0;D;18000;Jürgen Aust ;16;12;10;7;2;0;10;5;12;17;6;0;3;2;0;0
03.12.2000;Cottbus;Hansa Rostock;1;0;H;0;0;D;20000;Herbert Fandel ;11;5;5;2;0;0;5;3;20;20;2;2;3;3;1;1
03.12.2000;Kaiserslautern;Hamburg;2;1;H;0;0;D;38500;Helmut Fleischer ;14;7;6;5;0;0;9;5;15;31;2;5;3;4;0;0
08.12.2000;Ein Frankfurt;Wolfsburg;1;2;A;1;0;H;20000;Peter Gagelmann ;14;15;5;7;0;0;6;4;18;11;5;7;5;1;0;0
09.12.2000;Munich 1860;Hansa Rostock;2;1;H;1;0;H;15000;Alfons Berg ;18;16;7;5;2;0;4;9;18;20;2;1;3;3;0;0
09.12.2000;Dortmund;Unterhaching;3;0;H;3;0;H;60000;Michael Weiner ;23;6;13;0;1;0;5;6;14;11;1;4;2;1;0;0
09.12.2000;Freiburg;Bochum;5;0;H;1;0;H;24000;Jörg Kessler ;20;14;12;8;0;0;5;3;7;15;2;4;2;4;0;1
09.12.2000;Kaiserslautern;Bayern Munich;0;0;D;0;0;D;41500;Jürgen Aust ;26;9;8;0;1;0;10;5;24;18;4;7;1;6;0;0
09.12.2000;Schalke 04;Stuttgart;2;1;H;1;0;H;30000;Lutz Wagner ;12;11;6;3;0;0;6;3;21;20;2;0;3;2;0;1
10.12.2000;Hamburg;Cottbus;2;1;H;0;1;A;39600;Franz-Xaver Wack ;12;11;6;4;0;0;8;3;16;16;0;0;2;2;0;0
10.12.2000;Leverkusen;Hertha;4;0;H;2;0;H;22500;Bernd Heynemann ;14;7;9;3;0;0;2;3;22;16;3;4;1;2;0;1
10.12.2000;Werder Bremen;FC Koln;2;1;H;0;0;D;26000;Uwe Kemmling ;13;12;4;3;2;0;9;8;12;14;3;2;3;2;1;0
12.12.2000;Stuttgart;Ein Frankfurt;4;1;H;1;1;D;20000;Peter Sippel ;15;8;9;6;2;0;8;7;18;18;3;1;2;3;0;0
12.12.2000;Unterhaching;Schalke 04;0;2;A;0;1;A;10000;Lutz Michael Fröhlich ;11;14;3;5;1;0;8;2;13;19;2;2;2;1;0;0
12.12.2000;Wolfsburg;Freiburg;1;2;A;0;1;A;16000;Hermann Albrecht ;14;7;6;4;0;0;5;4;10;8;2;1;2;2;0;0
13.12.2000;FC Koln;Dortmund;0;0;D;0;0;D;41000;Helmut Fleischer ;14;11;10;6;1;0;8;3;17;17;1;0;1;3;0;0
13.12.2000;Bayern Munich;Hamburg;2;1;H;0;1;A;30000;Hartmut Strampe ;11;8;9;3;0;0;5;5;20;18;2;7;2;4;0;0
13.12.2000;Bochum;Leverkusen;3;2;H;1;0;H;19000;Florian Meyer ;10;11;6;7;0;0;5;12;11;15;2;1;1;3;0;0
13.12.2000;Cottbus;Munich 1860;2;3;A;2;0;H;14000;Edgar Steinborn ;20;20;10;9;0;0;1;9;28;30;0;4;1;1;0;0
13.12.2000;Hansa Rostock;Werder Bremen;5;2;H;2;1;H;15000;Wolfgang Stark ;9;18;8;7;0;1;5;11;21;18;6;3;2;5;0;0
13.12.2000;Hertha;Kaiserslautern;2;4;A;0;2;A;15000;Jürgen Jansen ;17;16;3;8;0;0;4;0;19;18;2;3;2;2;1;0
15.12.2000;Unterhaching;Ein Frankfurt;2;0;H;1;0;H;6000;Uwe Kemmling ;14;9;6;3;1;2;7;4;17;19;7;3;2;4;0;0
16.12.2000;FC Koln;Schalke 04;2;2;D;0;2;A;42000;Herbert Fandel ;12;14;4;6;0;0;3;8;20;20;0;0;4;2;1;0
16.12.2000;Munich 1860;Hamburg;2;1;H;1;0;H;15000;Markus Merk ;15;12;6;4;2;0;6;4;21;17;1;1;0;3;0;1
16.12.2000;Bochum;Kaiserslautern;0;1;A;0;1;A;15000;Franz-Xaver Wack ;12;8;5;5;0;0;5;2;23;14;4;4;2;4;1;0
16.12.2000;Hansa Rostock;Dortmund;1;2;A;0;1;A;14000;Bernd Heynemann ;13;12;3;6;0;0;13;4;19;13;0;4;2;2;0;0
16.12.2000;Stuttgart;Freiburg;0;0;D;0;0;D;22000;Helmut Krug ;22;4;11;2;1;0;14;2;20;28;2;4;2;3;0;0
16.12.2000;Wolfsburg;Leverkusen;2;0;H;0;0;D;12965;Lutz Wagner ;19;11;9;4;1;0;5;6;19;22;3;4;2;3;0;0
17.12.2000;Cottbus;Werder Bremen;3;1;H;2;1;H;12700;Jürgen Aust ;14;11;6;5;0;0;4;4;21;18;1;6;2;4;0;0
17.12.2000;Hertha;Bayern Munich;1;3;A;1;2;A;55000;Alfons Berg ;10;9;4;6;0;0;5;5;16;18;1;2;1;2;0;0
20.12.2000;Unterhaching;Werder Bremen;0;0;D;0;0;D;8500;Hartmut Strampe ;7;5;3;1;0;0;11;7;16;21;2;1;1;0;0;0
26.01.2001;Schalke 04;Hansa Rostock;2;0;H;1;0;H;29700;Hartmut Strampe ;21;4;10;0;0;0;10;4;19;20;2;1;0;2;0;0
27.01.2001;Bayern Munich;Bochum;3;2;H;1;1;D;27500;Edgar Steinborn ;16;5;5;2;0;0;7;4;11;14;0;4;0;1;0;0
27.01.2001;Dortmund;Cottbus;2;0;H;0;0;D;61000;Lutz Michael Fröhlich ;17;4;8;2;0;0;7;0;13;20;6;0;0;4;0;0
27.01.2001;Ein Frankfurt;FC Koln;1;5;A;0;4;A;24000;Wolfgang Stark ;12;11;8;7;0;0;17;4;24;21;0;7;4;1;0;0
27.01.2001;Freiburg;Unterhaching;2;0;H;1;0;H;24000;Markus Merk ;6;4;4;1;0;0;2;3;10;9;1;1;1;0;0;0
27.01.2001;Kaiserslautern;Wolfsburg;0;0;D;0;0;D;36700;Helmut Krug ;13;4;5;1;0;0;9;1;18;16;3;1;2;2;1;1
27.01.2001;Werder Bremen;Munich 1860;2;0;H;0;0;D;25000;Lutz Wagner ;14;6;8;2;0;0;6;8;14;12;2;1;1;3;0;0
28.01.2001;Hamburg;Hertha;1;2;A;1;0;H;42000;Herbert Fandel ;9;11;3;6;0;0;3;3;20;26;3;1;2;2;1;1
28.01.2001;Leverkusen;Stuttgart;4;0;H;0;0;D;22500;Helmut Fleischer ;17;5;11;2;0;0;11;3;16;13;9;2;2;2;0;1
02.02.2001;Munich 1860;Dortmund;1;0;H;0;0;D;20500;Jürgen Aust ;19;15;6;4;0;0;7;3;25;31;0;0;4;4;0;1
03.02.2001;FC Koln;Freiburg;0;1;A;0;0;D;30000;Jörg Kessler ;11;17;4;9;0;1;1;7;19;16;1;1;1;4;0;0
03.02.2001;Bochum;Hertha;1;3;A;0;1;A;10000;Peter Sippel ;12;14;4;6;0;0;9;5;17;19;2;0;2;2;0;0
03.02.2001;Cottbus;Schalke 04;4;1;H;2;0;H;17000;Florian Meyer ;19;20;11;11;1;0;5;3;18;24;1;0;2;1;0;1
03.02.2001;Stuttgart;Kaiserslautern;6;1;H;3;1;H;13000;Michael Weiner ;17;11;8;2;1;1;1;6;17;21;2;3;2;4;0;0
03.02.2001;Werder Bremen;Hamburg;3;1;H;1;0;H;31526;Hermann Albrecht ;15;14;6;5;0;1;3;6;21;21;3;1;4;3;0;0
03.02.2001;Wolfsburg;Bayern Munich;1;3;A;1;2;A;20400;Lutz Michael Fröhlich ;11;11;5;7;0;1;6;2;11;11;2;4;0;1;0;0
04.02.2001;Hansa Rostock;Ein Frankfurt;0;2;A;0;2;A;11000;Franz-Xaver Wack ;10;12;3;6;0;0;16;3;18;34;8;6;1;3;1;2
04.02.2001;Unterhaching;Leverkusen;1;2;A;1;1;D;9000;Peter Gagelmann ;16;10;5;4;0;0;3;4;20;23;1;4;2;2;1;0
09.02.2001;Ein Frankfurt;Cottbus;1;0;H;0;0;D;20000;Markus Merk ;13;15;5;5;0;0;6;8;15;16;1;0;2;2;0;0
10.02.2001;Bayern Munich;Stuttgart;1;0;H;1;0;H;35000;Uwe Kemmling ;11;7;4;2;0;0;8;1;17;14;2;2;4;1;0;0
10.02.2001;Hamburg;Bochum;3;0;H;3;0;H;25000;Hartmut Strampe ;19;8;6;4;1;0;5;1;27;11;1;3;1;5;0;0
10.02.2001;Hertha;Wolfsburg;1;3;A;0;1;A;37000;Jürgen Jansen ;5;10;3;6;0;0;0;2;5;5;0;0;1;3;0;0
10.02.2001;Kaiserslautern;Unterhaching;4;0;H;3;0;H;36000;Jürgen Aust ;23;3;14;2;2;0;11;8;15;15;1;2;1;3;0;1
10.02.2001;Leverkusen;FC Koln;4;1;H;0;1;A;22500;Helmut Krug ;23;8;11;3;0;0;13;0;29;24;1;0;2;5;0;0
10.02.2001;Schalke 04;Munich 1860;2;0;H;0;0;D;33705;Bernd Heynemann ;15;1;11;1;1;0;4;3;23;17;2;0;2;0;0;1
11.02.2001;Dortmund;Werder Bremen;0;0;D;0;0;D;62000;Herbert Fandel ;18;9;8;5;0;0;15;4;19;27;1;0;2;3;0;0
11.02.2001;Freiburg;Hansa Rostock;0;0;D;0;0;D;24500;Hermann Albrecht ;12;8;4;3;0;0;7;7;16;19;5;3;2;4;0;0
16.02.2001;Munich 1860;Ein Frankfurt;2;2;D;0;1;A;12001;Michael Weiner ;18;9;12;6;1;0;13;4;15;13;2;2;1;3;0;0
17.02.2001;Cottbus;Freiburg;0;2;A;0;0;D;14133;Peter Sippel ;23;11;11;5;1;0;4;3;23;24;1;3;5;4;0;0
