Date;HomeTeam;AwayTeam;FullTimeHomeTeamGoals;FullTimeAwayTeamGoals;FullTimeResult;HalfTimeHomeTeamGoals;HalfTimeAwayTeamGoals;HalfTimeResult;HomeTeamShots;AwayTeamShots;HomeTeamShots;AwayTeamShots;HomeTeamFoulsCommitted;AwayTeamFoulsCommitted;HomeTeamCorners;AwayTeamCorners;HomeTeamYellowCards;AwayTeamYellowCards;HomeTeamRedCards;AwayTeamRedCards;;;;;;
08.09.1993;Wattenscheid;Duisburg;0;2;A;;;;;;;;;;;;;;;;;;;;;
08.09.1993;Werder Bremen;Bayern Munich;1;0;H;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Bayern Munich;Wattenscheid;3;3;D;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Dresden;M'Gladbach;2;1;H;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Duisburg;Dortmund;2;2;D;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Freiburg;Kaiserslautern;2;3;A;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Karlsruhe;Werder Bremen;0;3;A;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Leipzig;Hamburg;1;4;A;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Leverkusen;Ein Frankfurt;2;2;D;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Schalke 04;Nurnberg;1;2;A;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Stuttgart;FC Koln;1;1;D;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Dortmund;Bayern Munich;1;1;D;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Ein Frankfurt;Dresden;3;2;H;;;;;;;;;;;;;;;;;;;;;
25.09.1993;FC Koln;Leipzig;3;1;H;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Hamburg;Duisburg;0;1;A;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Kaiserslautern;Leverkusen;3;2;H;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Karlsruhe;Schalke 04;0;0;D;;;;;;;;;;;;;;;;;;;;;
25.09.1993;M'Gladbach;Stuttgart;0;2;A;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Nurnberg;Freiburg;2;2;D;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Werder Bremen;Wattenscheid;0;0;D;;;;;;;;;;;;;;;;;;;;;
02.10.1993;Bayern Munich;Hamburg;4;0;H;;;;;;;;;;;;;;;;;;;;;
02.10.1993;Dresden;Kaiserslautern;3;1;H;;;;;;;;;;;;;;;;;;;;;
02.10.1993;Duisburg;FC Koln;0;0;D;;;;;;;;;;;;;;;;;;;;;
02.10.1993;Freiburg;Karlsruhe;3;3;D;;;;;;;;;;;;;;;;;;;;;
02.10.1993;Leipzig;M'Gladbach;1;1;D;;;;;;;;;;;;;;;;;;;;;
02.10.1993;Leverkusen;Nurnberg;4;0;H;;;;;;;;;;;;;;;;;;;;;
02.10.1993;Schalke 04;Werder Bremen;1;1;D;;;;;;;;;;;;;;;;;;;;;
02.10.1993;Stuttgart;Ein Frankfurt;0;2;A;;;;;;;;;;;;;;;;;;;;;
02.10.1993;Wattenscheid;Dortmund;1;2;A;;;;;;;;;;;;;;;;;;;;;
09.10.1993;Ein Frankfurt;Leipzig;2;1;H;;;;;;;;;;;;;;;;;;;;;
09.10.1993;FC Koln;Bayern Munich;0;4;A;;;;;;;;;;;;;;;;;;;;;
09.10.1993;Hamburg;Wattenscheid;2;1;H;;;;;;;;;;;;;;;;;;;;;
09.10.1993;Kaiserslautern;Stuttgart;5;0;H;;;;;;;;;;;;;;;;;;;;;
09.10.1993;Karlsruhe;Leverkusen;2;0;H;;;;;;;;;;;;;;;;;;;;;
09.10.1993;M'Gladbach;Duisburg;4;1;H;;;;;;;;;;;;;;;;;;;;;
09.10.1993;Nurnberg;Dresden;3;0;H;;;;;;;;;;;;;;;;;;;;;
09.10.1993;Schalke 04;Freiburg;1;3;A;;;;;;;;;;;;;;;;;;;;;
09.10.1993;Werder Bremen;Dortmund;4;0;H;;;;;;;;;;;;;;;;;;;;;
16.10.1993;Bayern Munich;M'Gladbach;3;1;H;;;;;;;;;;;;;;;;;;;;;
16.10.1993;Dortmund;Hamburg;2;1;H;;;;;;;;;;;;;;;;;;;;;
16.10.1993;Dresden;Karlsruhe;1;1;D;;;;;;;;;;;;;;;;;;;;;
16.10.1993;Duisburg;Ein Frankfurt;1;0;H;;;;;;;;;;;;;;;;;;;;;
16.10.1993;Freiburg;Werder Bremen;0;0;D;;;;;;;;;;;;;;;;;;;;;
16.10.1993;Leipzig;Kaiserslautern;0;0;D;;;;;;;;;;;;;;;;;;;;;
16.10.1993;Leverkusen;Schalke 04;5;1;H;;;;;;;;;;;;;;;;;;;;;
16.10.1993;Stuttgart;Nurnberg;1;0;H;;;;;;;;;;;;;;;;;;;;;
16.10.1993;Wattenscheid;FC Koln;2;2;D;;;;;;;;;;;;;;;;;;;;;
23.10.1993;Ein Frankfurt;Bayern Munich;2;2;D;;;;;;;;;;;;;;;;;;;;;
23.10.1993;FC Koln;Dortmund;2;0;H;;;;;;;;;;;;;;;;;;;;;
23.10.1993;Freiburg;Leverkusen;1;0;H;;;;;;;;;;;;;;;;;;;;;
23.10.1993;Kaiserslautern;Duisburg;2;0;H;;;;;;;;;;;;;;;;;;;;;
